,Brand,Year,Model,Title,Transmission
102,Subaru,2016,Liberty,2016 Subaru Liberty 3.6R,Automatic
103,Toyota,2019,C-HR,2019 Toyota C-HR (2WD),Manual
104,Subaru,2021,Forester,2021 Subaru Forester 2.5I (awd),Automatic
105,Mazda,2015,CX-3,2015 Mazda CX-3 S Touring (awd),Automatic
106,Jeep,2018,Grand,2018 Jeep Grand Cherokee Limited (4X4),Automatic
107,Hyundai,2018,I30,2018 Hyundai I30 Active,Automatic
108,Nissan,2020,X-Trail,2020 Nissan X-Trail ST (2WD),Automatic
109,Honda,2010,City,2010 Honda City VTI,Automatic
110,Honda,2020,CR-V,2020 Honda CR-V VTI-L7 (2WD),Automatic
111,Holden,2014,Cruze,2014 Holden Cruze SRI,Manual
112,Jeep,2013,Grand,2013 Jeep Grand Cherokee Laredo (4X2),Automatic
113,Toyota,2007,RAV4,2007 Toyota RAV4 Cruiser L (4X4),Automatic
114,Holden,2016,Commodore,2016 Holden Commodore Evoke,Automatic
115,Mercedes-Benz,2010,CLC200,2010 Mercedes-Benz CLC200 Kompressor Evolution +,Automatic
116,Dodge,2012,Journey,2012 Dodge Journey JC SXT Wagon 4dr Auto 6sp 3.6i 7 St SUV,Automatic
117,Mazda,2013,6,2013 Mazda 6 Atenza,Automatic
118,Volkswagen,2018,Caddy,2018 Volkswagen Caddy Maxi VAN TSI220,Automatic
119,Honda,2013,Civic,2013 Honda Civic VTI-L,Automatic
120,Jeep,2021,Compass,2021 Jeep Compass Launch Edition,Automatic
121,Toyota,2008,HiAce,2008 Toyota HiAce Commuter GL Grand Cabin,Automatic
122,Mazda,2014,CX-9,2014 Mazda CX-9 Classic,Automatic
123,Toyota,2010,Yaris,2010 Toyota Yaris YR,Automatic
124,Jeep,2014,Grand,2014 Jeep Grand Cherokee Overland (4X4),Automatic
125,Mazda,2009,3,2009 Mazda 3 SP25,Manual
126,Ford,2016,Ranger,2016 Ford Ranger XLT 3.2 (4X4),Automatic
127,Holden,2011,Captiva,2011 Holden Captiva CG 7 LX Wagon 7st 4dr Spts Auto 6sp 4x4 2.2DT,Automatic
128,Toyota,2013,86,2013 Toyota 86 GTS,Automatic
129,Volkswagen,2013,Golf,2013 Volkswagen Golf 103 TSI Highline,Automatic
130,Mitsubishi,2013,Lancer,2013 Mitsubishi Lancer LX Sportback,Automatic
131,Toyota,2009,Camry,2009 Toyota Camry Ateva,Automatic
132,Hyundai,2013,I20,2013 Hyundai I20 Active,Automatic
133,Mitsubishi,2014,Lancer,2014 Mitsubishi Lancer GSR Sportback,Automatic
134,Mazda,2018,2,2018 Mazda 2 Maxx,Automatic
135,Mazda,2009,3,2009 Mazda 3 Maxx Sport,Automatic
136,Mitsubishi,2014,Triton,2014 Mitsubishi Triton GLX (4X4),Automatic
137,Volkswagen,2014,Golf,2014 Volkswagen Golf 90 TSI Comfortline,Automatic
138,BMW,2012,M135I,2012 BMW M135I,Automatic
139,Holden,2015,Commodore,2015 Holden Commodore SV6 Storm,Automatic
140,Volkswagen,2008,Golf,2008 Volkswagen Golf GTI,Automatic
141,Holden,2014,Cruze,2014 Holden Cruze Equipe,Automatic
142,Hyundai,2018,Imax,2018 Hyundai Imax Active,Automatic
143,Mitsubishi,2013,Triton,2013 Mitsubishi Triton GLX (4X4),Manual
144,BMW,2021,330I,2021 BMW 330I M Sport,Automatic
145,Volkswagen,2018,Golf,2018 Volkswagen Golf 110 TSI Comfortline,Automatic
146,Audi,2019,Q3,2019 Audi Q3 35 Tfsi S Tronic,Automatic
147,Nissan,2005,Elgrand,2005 Nissan Elgrand Highway Star,Automatic
148,Toyota,2009,Estima,2009 Toyota Estima X (hybrid),Automatic
149,Subaru,2016,Outback,2016 Subaru Outback 2.5I Premium,Automatic
150,Mazda,2007,6,2007 Mazda 6 Classic Sports,Manual
151,Hyundai,2015,Accent,2015 Hyundai Accent Active,Automatic
152,Land,2013,Rover,2013 Land Rover Discovery 4 3.0 TDV6,Automatic
153,Mercedes-Benz,2014,B-Class,2014 Mercedes-Benz B-Class B200 DCT,Automatic
154,Ford,2013,Focus,2013 Ford Focus Ambiente,Automatic
155,Kia,2017,Sportage,2017 Kia Sportage GT-Line (awd),Automatic
156,Porsche,2010,Cayenne,2010 Porsche Cayenne S,Automatic
157,Porsche,2016,Cayman,2016 Porsche Cayman GT4,Manual
158,Ford,2007,Territory,2007 Ford Territory SR (4X4),Automatic
159,Suzuki,2017,Swift,2017 Suzuki Swift Sport,Automatic
160,Nissan,2016,Navara,2016 Nissan Navara SL (4X4),Automatic
162,Daihatsu,2019,Hijet,2019 Daihatsu Hijet,-
163,Toyota,2013,RAV4,2013 Toyota RAV4 Cruiser (4X4),Automatic
164,Toyota,2008,Hilux,2008 Toyota Hilux SR5 (4X4),Automatic
165,Mazda,2014,3,2014 Mazda 3 Maxx,Automatic
166,Hyundai,2021,Venue,2021 Hyundai Venue Elite ((sunroof),Automatic
167,BMW,2015,X1,2015 BMW X1 Xdrive 20D,Automatic
170,Hyundai,2013,Veloster,2013 Hyundai Veloster +,Automatic
171,Toyota,2017,Camry,2017 Toyota Camry Altise,Automatic
172,Mitsubishi,2011,Lancer,2011 Mitsubishi Lancer ES Sportback,Automatic
173,BMW,2020,M4,2020 BMW M4 Competition,Automatic
174,Suzuki,2011,Swift,2011 Suzuki Swift GL,Automatic
175,Ford,2008,Transit,2008 Ford Transit,Manual
177,Peugeot,2017,308,2017 Peugeot 308 Active,Automatic
178,Holden,2017,Trax,2017 Holden Trax LT,Automatic
179,Mitsubishi,2015,Triton,2015 Mitsubishi Triton GLX (4X4),Automatic
180,Subaru,2013,Forester,2013 Subaru Forester 2.0I,Manual
181,Mazda,2015,CX-3,2015 Mazda CX-3 S Touring (fwd),Automatic
182,Nissan,2010,Navara,2010 Nissan Navara RX (4X4),Manual
183,Holden,2017,Captiva,2017 Holden Captiva Active 7 Seater,Automatic
184,Kia,2017,Cerato,2017 Kia Cerato S Premium,Automatic
185,Audi,2016,RS3,2016 Audi RS3 Sportback Quattro,Automatic
186,Mitsubishi,2014,Triton,2014 Mitsubishi Triton GL,Manual
187,Jeep,2007,Grand,2007 Jeep Grand Cherokee Laredo (4X4),Automatic
188,Mercedes-Benz,2018,C200,2018 Mercedes-Benz C200,Automatic
189,Toyota,2020,Corolla,2020 Toyota Corolla ZR Hybrid,Automatic
190,Ford,2012,Ranger,2012 Ford Ranger XLT 3.2 (4X4),Manual
191,Honda,2008,Civic,2008 Honda Civic Type R,Manual
192,Honda,2022,CR-V,2022 Honda CR-V VTI X (2WD) 5 Seats,Automatic
193,Nissan,2013,Navara,2013 Nissan Navara ST (4X4),Automatic
194,Hyundai,2017,Tucson,2017 Hyundai Tucson Highlander (awd),Automatic
195,Mazda,2015,CX-5,2015 Mazda CX-5 Akera (4X4),Automatic
196,Toyota,2015,HiAce,2015 Toyota HiAce GL,Automatic
197,Isuzu,2017,D-MAX,2017 Isuzu D-MAX LS-M HI-Ride (4X4),Automatic
198,Mercedes-Benz,2014,A200,2014 Mercedes-Benz A200 CDI BE,Automatic
199,Toyota,2007,HiAce,2007 Toyota HiAce LWB,Manual
200,Ford,2020,Puma,2020 Ford Puma,Automatic
201,Mazda,2022,2,2022 Mazda 2 G15 Evolve,Automatic
202,Toyota,2007,Corolla,2007 Toyota Corolla Ascent,Automatic
203,Jeep,2016,Grand,2016 Jeep Grand Cherokee Laredo (4X4),Automatic
204,Hyundai,2020,Tucson,2020 Hyundai Tucson Active (2WD),Automatic
205,Toyota,2020,Camry,2020 Toyota Camry Ascent Sport,Automatic
206,Honda,2018,City,2018 Honda City VTI,Automatic
207,Toyota,2018,C-HR,2018 Toyota C-HR Koba (awd),Automatic
208,Kia,2012,Sorento,2012 Kia Sorento Platinum (4X4),Automatic
209,Holden,2013,Cruze,2013 Holden Cruze CD Equipe,Automatic
210,Isuzu,2018,MU-X,2018 Isuzu MU-X LS-U (4X2),Automatic
211,Kia,2015,Cerato,2015 Kia Cerato S,Automatic
212,Lexus,2014,IS350,2014 Lexus IS350 F Sport,Automatic
214,Toyota,2009,Corolla,2009 Toyota Corolla Levin ZR,Automatic
215,Toyota,2016,Kluger,2016 Toyota Kluger GXL (4X4),Automatic
216,Volkswagen,2007,Golf,2007 Volkswagen Golf GTI,Automatic
217,Holden,2015,Commodore,2015 Holden Commodore SS-V Redline,Automatic
218,Nissan,2016,X-Trail,2016 Nissan X-Trail ST (fwd),Automatic
219,Hyundai,2020,I30,2020 Hyundai I30,Automatic
221,Mini,2016,Cooper,2016 Mini Cooper Cooper S,Manual
222,Toyota,2013,Camry,2013 Toyota Camry Atara S,Automatic
223,Toyota,2013,Corolla,2013 Toyota Corolla Ascent,Automatic
224,Hyundai,2019,I30,2019 Hyundai I30 Active,Automatic
225,Mazda,2016,BT-50,2016 Mazda BT-50 XT (4X4),Automatic
227,Kia,2020,Stinger,2020 Kia Stinger GT (black Leather),Automatic
228,Toyota,2015,RAV4,2015 Toyota RAV4 GXL (4X4),Automatic
229,Honda,2012,Jazz,2012 Honda Jazz Vibe,Automatic
230,BMW,2017,430I,2017 BMW 430I Gran Coupe M Sport,Automatic
232,Subaru,2018,Outback,2018 Subaru Outback 2.5I Premium,Automatic
233,Ford,2011,Territory,2011 Ford Territory TX (rwd),Automatic
234,Kia,2013,RIO,2013 Kia RIO S,Automatic
235,Holden,2013,Commodore,2013 Holden Commodore SV6 Z-Series,Automatic
236,Toyota,1999,Landcruiser,1999 Toyota Landcruiser (4X4),Manual
237,Toyota,2013,Hilux,2013 Toyota Hilux SR,Manual
238,Toyota,2017,Corolla,2017 Toyota Corolla ZR,Automatic
239,Honda,2016,Civic,2016 Honda Civic VTI-L,Automatic
240,Audi,2013,A3,2013 Audi A3 Sportback 1.8 Tfsi Ambition,Automatic
241,Hyundai,2018,I30,2018 Hyundai I30 N Line,Automatic
242,Mazda,2012,2,2012 Mazda 2 Genki,Automatic
243,Volkswagen,2013,Tiguan,2013 Volkswagen Tiguan 155 TSI (4X4),Automatic
244,Renault,2017,Trafic,2017 Renault Trafic LWB,Manual
245,Peugeot,2013,208,2013 Peugeot 208 GTI,Manual
246,Land,2020,Rover,2020 Land Rover Range Rover Evoque P200 S (147KW),Automatic
247,Honda,2017,HR-V,2017 Honda HR-V VTI,Automatic
249,Nissan,2015,Pulsar,2015 Nissan Pulsar ST,Automatic
250,Mazda,2018,6,2018 Mazda 6 Touring (5YR),Automatic
251,Audi,2007,A4,2007 Audi A4 2.0 Tfsi,Automatic
252,Honda,2005,Accord,2005 Honda Accord VTI,Automatic
253,Audi,2016,SQ5,2016 Audi SQ5 3.0 TDI Quattro,Automatic
255,Holden,2011,Commodore,2011 Holden Commodore SV6,Automatic
256,Mercedes-Benz,2005,CLK-Class,2005 Mercedes-Benz CLK-Class C209 Elegance Coupe 2dr Spts Auto 7sp 3.5i Luxury,Automatic
257,Nissan,2015,X-Trail,2015 Nissan X-Trail TL (fwd),Automatic
258,Mazda,2005,6,2005 Mazda 6 Classic,Automatic
259,Audi,2021,Q3,2021 Audi Q3 35 Tfsi,Automatic
260,Lexus,2004,IS300,2004 Lexus IS300 Sports Luxury,Automatic
261,Mitsubishi,2020,Triton,2020 Mitsubishi Triton GLX,Automatic
263,Mercedes-Benz,2011,C-CLASS,2011 Mercedes-Benz C-CLASS W204 Elegance Sedan 4dr Spts Auto 5sp 1.8T Luxury,Automatic
264,Toyota,2018,Kluger,2018 Toyota Kluger GX (4X2),Automatic
265,Subaru,2011,Outback,2011 Subaru Outback 3.6R Premium,Automatic
266,Jaguar,2014,XF,2014 Jaguar XF 2.2D Premium Luxury,Automatic
267,Nissan,2015,X-Trail,2015 Nissan X-Trail ST-L 7 Seat (fwd),Automatic
268,Ford,2013,Ranger,2013 Ford Ranger XLT 3.2 (4X4),Manual
269,Honda,2004,Accord,2004 Honda Accord Euro Luxury,Automatic
270,Ford,2017,Ranger,2017 Ford Ranger XL 3.2 (4X4),Manual
271,Volkswagen,2015,Polo,2015 Volkswagen Polo 81 TSI Comfortline,Automatic
272,Mazda,2015,2,2015 Mazda 2 Genki,Automatic
273,Nissan,2002,Pulsar,2002 Nissan Pulsar ST,Automatic
275,Hyundai,2015,Veloster,2015 Hyundai Veloster,Automatic
276,Toyota,2006,Corolla,2006 Toyota Corolla Ascent Seca,Automatic
277,Mercedes-Benz,2013,B-Class,2013 Mercedes-Benz B-Class W246 Hatchback 5dr DCT 7sp 1.6T,Automatic
278,Audi,2014,Q3,2014 Audi Q3 2.0 TDI Quattro (130KW),Automatic
279,Holden,2010,Cruze,2010 Holden Cruze CDX,Automatic
280,Hyundai,2012,I30,2012 Hyundai I30 Trophy,Automatic
281,Mitsubishi,2021,Outlander,2021 Mitsubishi Outlander ES 5 Seat (awd),Automatic
282,Toyota,2022,Yaris,2022 Toyota Yaris ZR Hybrid,Automatic
283,Jeep,2014,Grand,2014 Jeep Grand Cherokee Limited (4X4),Automatic
285,Land,2015,Rover,2015 Land Rover Discovery 4 3.0 SDV6 HSE,Automatic
286,MG,2022,ZS,2022 MG ZS Excite,Automatic
288,Mercedes-Benz,2009,E500,2009 Mercedes-Benz E500 Avantgarde,Automatic
289,Toyota,2023,HiAce,2023 Toyota HiAce Commuter High Roof Super LWB GL,Automatic
291,Toyota,2019,Corolla,2019 Toyota Corolla Ascent Sport,Automatic
292,Toyota,2017,HiAce,2017 Toyota HiAce LWB,Automatic
293,Holden,2010,Commodore,2010 Holden Commodore Omega,Automatic
294,Toyota,2018,Hilux,2018 Toyota Hilux SR (4X4),Automatic
295,Mazda,2018,3,2018 Mazda 3 SP25,Automatic
296,BMW,2018,M140I,2018 BMW M140I,Automatic
297,Hyundai,2013,Accent,2013 Hyundai Accent Active,Automatic
298,Holden,2013,Calais,2013 Holden Calais VF Sedan 4dr Spts Auto 6sp 3.6i,Automatic
299,Jeep,2015,Grand,2015 Jeep Grand Cherokee Laredo (4X4),Automatic
300,Mercedes-Benz,2005,C200,2005 Mercedes-Benz C200 Kompressor Classic,Automatic
301,Holden,2009,Commodore,2009 Holden Commodore SV6,Automatic
302,Subaru,2015,Impreza,2015 Subaru Impreza 2.0I-S (awd),Automatic
303,Mazda,2015,BT-50,2015 Mazda BT-50 XT (4X4),Automatic
305,Volkswagen,2016,Golf,2016 Volkswagen Golf 92 TSI,Manual
306,Mitsubishi,2017,Pajero,2017 Mitsubishi Pajero GLX,Automatic
307,Mercedes-Benz,2011,E250,2011 Mercedes-Benz E250 CGI Avantgarde,Automatic
308,Holden,2011,Commodore,2011 Holden Commodore Omega,Automatic
309,Toyota,2004,Camry,2004 Toyota Camry Sportivo,Automatic
312,Audi,2018,Q2,2018 Audi Q2 1.4 Tfsi Design,Automatic
313,Kia,2018,Sorento,2018 Kia Sorento SLI (4X4),Automatic
314,BMW,2017,218I,2017 BMW 218I Active Tourer Sport Line,Automatic
315,Hyundai,2017,Tucson,2017 Hyundai Tucson Elite (awd),Automatic
316,Nissan,2007,Patrol,2007 Nissan Patrol ST-S (4X4),Manual
317,Hyundai,2020,I30,2020 Hyundai I30 GO,Automatic
318,Honda,2010,Accord,2010 Honda Accord Euro Euro,Automatic
319,Mitsubishi,2019,ASX,2019 Mitsubishi ASX ES (2WD),Automatic
320,Nissan,2015,Qashqai,2015 Nissan Qashqai TI (4X2),Automatic
321,Toyota,2015,Landcruiser,2015 Toyota Landcruiser Workmate (4X4),Manual
322,Volkswagen,2015,Passat,2015 Volkswagen Passat 132 TSI Comfortline,Automatic
323,Subaru,2013,Forester,2013 Subaru Forester 2.5I,Automatic
324,Renault,2014,Megane,2014 Renault Megane GT-Line,Automatic
325,Renault,2018,Trafic,2018 Renault Trafic LWB,Manual
326,Toyota,2013,Hilux,2013 Toyota Hilux Workmate,Manual
327,Holden,2016,Cruze,2016 Holden Cruze SRI Z-Series,Manual
328,Rolls-Royce,2011,Ghost,2011 Rolls-Royce Ghost,Automatic
329,Volkswagen,2016,Crafter,2016 Volkswagen Crafter 35 TDI 340 MWB,Manual
330,Hyundai,2010,I30,2010 Hyundai I30 SX,Automatic
333,Toyota,2012,Tarago,2012 Toyota Tarago GLI,Automatic
335,Toyota,2018,Corolla,2018 Toyota Corolla Ascent Sport,Automatic
336,Honda,2020,HR-V,2020 Honda HR-V RS Crimson Interior,Automatic
337,Kia,2017,Sportage,2017 Kia Sportage SI (fwd),Automatic
338,Volkswagen,2015,Golf,2015 Volkswagen Golf 7 110TDI Highline Hatchback 5dr DSG 6sp 2.0DT MY15,Automatic
339,Land,2004,Rover,2004 Land Rover Range Rover HSE,Automatic
340,Toyota,2006,Camry,2006 Toyota Camry Altise,Automatic
341,Hyundai,2018,Iload,2018 Hyundai Iload 3S Twin Swing,Automatic
342,Subaru,2009,Impreza,2009 Subaru Impreza WRX (awd),Manual
343,Holden,2005,Rodeo,2005 Holden Rodeo LX,Manual
344,BMW,2013,320D,2013 BMW 320D,Automatic
345,Toyota,2015,RAV4,2015 Toyota RAV4 GX (2WD),Automatic
346,Volkswagen,2016,Amarok,2016 Volkswagen Amarok V6 TDI 550 Ultimate,Automatic
347,Holden,2017,Astra,2017 Holden Astra RS,Automatic
348,Toyota,2010,Kluger,2010 Toyota Kluger KX-R (4X4) 7 Seat,Automatic
349,Toyota,2019,Corolla,2019 Toyota Corolla ZR (hybrid),Automatic
350,Nissan,2015,X-Trail,2015 Nissan X-Trail ST (fwd),Automatic
351,BMW,2017,X1,2017 BMW X1 Sdrive 18D,Automatic
352,Mazda,2008,6,2008 Mazda 6 Classic,Automatic
354,Hyundai,2009,Imax,2009 Hyundai Imax,Automatic
355,Toyota,2013,RAV4,2013 Toyota RAV4 GX (4X4),Automatic
356,Toyota,2012,Kluger,2012 Toyota Kluger KX-S (4X4),Automatic
357,Holden,2018,Colorado,2018 Holden Colorado LS (4X2),Automatic
358,Toyota,2016,Corolla,2016 Toyota Corolla Ascent,Automatic
359,Holden,2012,Captiva,2012 Holden Captiva 7 LX (4X4),Automatic
360,Mercedes-Benz,2009,C200,2009 Mercedes-Benz C200 Kompressor Classic,Automatic
361,Skoda,2010,Octavia,2010 Skoda Octavia 103 TDI,Automatic
362,Holden,2014,Colorado,2014 Holden Colorado 7,Automatic
363,Lexus,2019,UX200,2019 Lexus UX200 Luxury +EP1,Automatic
365,Hyundai,2019,Tucson,2019 Hyundai Tucson Active (2WD),Automatic
366,Toyota,2009,RAV4,2009 Toyota RAV4 CV (4X4),Automatic
367,Kia,2020,RIO,2020 Kia RIO Sport,Automatic
368,Skoda,2019,Rapid,2019 Skoda Rapid Spaceback 92 TSI,Automatic
369,Nissan,2018,Navara,2018 Nissan Navara ST-X (4X4),Manual
370,Ford,2016,Transit,2016 Ford Transit 350L (Mid Roof),Manual
371,Toyota,2017,Hilux,2017 Toyota Hilux SR (4X4),Automatic
372,Jaguar,2011,XF,2011 Jaguar XF 3.0 V6 Diesel S Luxury,Automatic
373,Mitsubishi,2017,ASX,2017 Mitsubishi ASX LS (2WD),Automatic
374,Kia,2021,Picanto,2021 Kia Picanto S (PE),Automatic
376,Honda,2017,Civic,2017 Honda Civic Type R,Manual
378,Isuzu,2013,D-MAX,2013 Isuzu D-MAX SX (4X2),Manual
379,Ford,2012,Territory,2012 Ford Territory Titanium (4X4),Automatic
380,Isuzu,2016,D-MAX,2016 Isuzu D-MAX SX (4X4),Automatic
381,Mazda,2016,3,2016 Mazda 3 Touring,Manual
382,Kia,2018,Carnival,2018 Kia Carnival SLI,Automatic
383,Kia,2011,Cerato,2011 Kia Cerato Koup SI,Automatic
384,Mazda,2019,3,2019 Mazda 3 G20 Evolve,Manual
385,Toyota,2009,Camry,2009 Toyota Camry Altise,Automatic
386,Ford,2016,Focus,2016 Ford Focus ST2,Manual
387,Holden,2015,Trax,2015 Holden Trax LTZ,Automatic
388,Nissan,2018,X-Trail,2018 Nissan X-Trail ST 7 Seat (2WD),Automatic
389,Holden,2014,Commodore,2014 Holden Commodore SV6,Automatic
390,MG,2023,ZST,2023 MG ZST Core,Automatic
391,Holden,2010,Calais,2010 Holden Calais V,Automatic
392,Fiat,2015,500,2015 Fiat 500 POP,Manual
